Sex,Agemos,L,M,S,P5,P10,P25,P50,P75,P90,P95
1,24,-2.01118107,16.57502768,0.080592465,14.73731947,15.09032827,15.74164233,16.57502768,17.55718781,18.60948128,19.33801062
1,24.5,-1.982373595,16.54777487,0.080127429,14.71929257,15.07117474,15.71962876,16.54777487,17.52129279,18.56110634,19.27889813
1,25.5,-1.924100169,16.49442763,0.079233994,14.68360841,15.03335725,15.67634464,16.49442763,17.45135039,18.46729593,19.16465965
1,26.5,-1.86549793,16.44259552,0.078389356,14.64843329,14.99619505,15.634035,16.44259552,17.38383656,18.37736191,19.05567423
1,27.5,-1.807261899,16.3922434,0.077593501,14.61378626,14.95969047,15.5926798,16.3922434,17.3187102,18.29125345,18.9518675
1,28.5,-1.750118905,16.34333654,0.076846462,14.57968578,14.92384514,15.55225853,16.34333654,17.2559313,18.20892041,18.85316529
1,29.5,-1.69481584,16.29584097,0.076148308,14.54614966,14.88866003,15.51275057,16.29584097,17.19546093,18.1303131,18.75949359
1,30.5,-1.642106779,16.24972371,0.075499126,14.51319492,14.85413557,15.47413549,16.24972371,17.13726129,18.05538214,18.67077841
1,31.5,-1.592744414,16.20495268,0.074898994,14.48083795,14.82027189,15.43639319,16.20495268,17.0812953,17.98407812,18.58694589
1,32.5,-1.547442391,16.16149871,0.074347997,14.44909329,14.7870687,15.39950521,16.16149871,17.02752831,17.91635198,18.50792131
1,33.5,-1.506902601,16.11933258,0.073846139,14.41797561,14.7545259,15.36345335,16.11933258,16.97592485,17.85215384,18.43363072
1,34.5,-1.471770047,16.07842758,0.07339337,14.38749811,14.72264343,15.32822125,16.07842758,16.92645101,17.79143359,18.3639996
1,35.5,-1.442628957,16.03875896,0.072989551,14.35767293,14.69142152,15.2937943,16.03875896,16.87907357,17.73414053,18.29895323
1,36.5,-1.419991255,16.00030401,0.072634432,14.32851119,14.66086088,15.26015988,16.00030401,16.8337599,17.68022325,18.23841666
1,37.5,-1.404277619,15.96304277,0.072327649,14.30002256,14.63096272,15.22730791,15.96304277,16.79047852,17.62962965,18.1823144
1,38.5,-1.39586317,15.92695418,0.07206864,14.27221761,14.60172936,15.1952288,15.92695418,16.74919525,17.58230587,18.13057244
1,39.5,-1.394935252,15.89202582,0.071856805,14.24510202,14.57316316,15.16391901,15.89202582,16.70988247,17.53819888,18.08311311
1,40.5,-1.401671596,15.85824093,0.071691278,14.21868433,14.54526806,15.13337382,15.85824093,16.67250668,17.49725289,18.03986198
1,41.5,-1.416100312,15.82558822,0.071571093,14.19297011,14.51804847,15.10359281,15.82558822,16.63703787,17.45941207,18.00074262
1,42.5,-1.438164899,15.79405728,0.071495113,14.16796472,14.49150978,15.07457728,15.79405728,16.60344521,17.42461935,17.96567903
1,43.5,-1.467669032,15.76364255,0.071462106,14.14367089,14.4656578,15.04633235,15.76364255,16.57170092,17.39281759,17.9345935
1,44.5,-1.504376347,15.73433668,0.071470646,14.12009269,14.44049947,15.01886319,15.73433668,16.54177412,17.36394785,17.90741007
1,45.5,-1.547942838,15.70613566,0.071519218,14.09723246,14.4160421,14.99217766,15.70613566,16.51363577,17.33795095,17.88405183
1,46.5,-1.597896397,15.67904062,0.071606277,14.07508966,14.392293,14.96628719,15.67904062,16.48726082,17.31476822,17.86443983
1,47.5,-1.653732283,15.65305192,0.071730167,14.05366443,14.36926,14.94120325,15.65305192,16.46262258,17.29433999,17.84849622
1,48.5,-1.714869347,15.62817269,0.071889214,14.03295533,14.34695084,14.91693911,15.62817269,16.43969657,17.27660684,17.8361423
1,49.5,-1.780673181,15.604408,0.072081737,14.01295984,14.32537305,14.89350913,15.604408,16.41845985,17.26150966,17.82729891
1,50.5,-1.850468473,15.58176458,0.072306081,13.99367445,14.30453377,14.87092845,15.58176458,16.39889119,17.24898984,17.8218865
1,51.5,-1.923551865,15.56025067,0.072560637,13.97509464,14.2844396,14.84921259,15.56025067,16.38097113,17.23898952,17.81982523
1,52.5,-1.999220429,15.5398746,0.07284384,13.95721572,14.26509665,14.82837662,15.5398746,16.36468088,17.23145142,17.82103559
1,53.5,-2.076707178,15.52064993,0.073154324,13.94002947,14.24650943,14.80843749,15.52064993,16.3500079,17.22632105,17.82543578
1,54.5,-2.155348017,15.50258427,0.073490667,13.92353116,14.22868271,14.7894083,15.50258427,16.33693462,17.22354286,17.83294744
1,55.5,-2.234438552,15.48568973,0.073851672,13.90771281,14.21161954,14.77130343,15.48568973,16.32544946,17.22306443,17.84349028
1,56.5,-2.313321723,15.46997718,0.074236235,13.89256678,14.19532216,14.75413556,15.46997718,16.31554106,17.22483458,17.85698505
1,57.5,-2.391381273,15.45545692,0.074643374,13.87808525,14.1797919,14.73791599,15.45545692,16.30719914,17.22880383,17.87335318
1,58.5,-2.468032491,15.44213961,0.075072264,13.86425959,14.16502885,14.72265501,15.44213961,16.30041561,17.23492502,17.89251642
1,59.5,-2.542781541,15.43003207,0.075522104,13.85108308,14.15103287,14.70836004,15.43003207,16.29517994,17.24315148,17.91439894
1,60.5,-2.61516595,15.41914163,0.07599225,13.83854804,14.13780261,14.69503764,15.41914163,16.29148397,17.25343909,17.93892524
1,61.5,-2.684789516,15.40947356,0.076482128,13.82664746,14.1253362,14.68269244,15.40947356,16.28931904,17.26574515,17.96602144
1,62.5,-2.751316949,15.40103139,0.076991232,13.81537489,14.11363117,14.67132735,15.40103139,16.28867619,17.28002846,17.99561523
